amfi_code,stock_name,sector,weight_pct
125497,RELIANCE,Energy,8.5
125497,HDFC BANK,Financials,7.2
125497,TCS,IT,6.8
125497,INFOSYS,IT,5.4
125497,ICICI BANK,Financials,5.1
125497,ITC,FMCG,4.8
125497,L&T,Industrials,4.2
125497,HUL,FMCG,3.9
125497,SBIN,Financials,3.5
125497,BHARTI AIRTEL,Telecom,3.2
119551,RELIANCE,Energy,7.8
119551,TCS,IT,7.1
119551,HDFC BANK,Financials,6.5
119551,INFOSYS,IT,5.9
119551,ICICI BANK,Financials,5.2
119551,ITC,FMCG,4.6
119551,L&T,Industrials,4.0
119551,HUL,FMCG,3.8
119551,SBIN,Financials,3.4
119551,AXIS BANK,Financials,3.1
120503,RELIANCE,Energy,8.1
120503,HDFC BANK,Financials,7.0
120503,TCS,IT,6.5
120503,INFOSYS,IT,5.8
120503,ICICI BANK,Financials,5.0
120503,ITC,FMCG,4.5
120503,L&T,Industrials,4.1
120503,HUL,FMCG,3.7
120503,SBIN,Financials,3.3
120503,BHARTI AIRTEL,Telecom,3.0
118632,RELIANCE,Energy,7.5
118632,TCS,IT,6.9
118632,HDFC BANK,Financials,6.2
118632,INFOSYS,IT,5.5
118632,ICICI BANK,Financials,4.9
118632,ITC,FMCG,4.3
118632,L&T,Industrials,3.9
118632,HUL,FMCG,3.6
118632,SBIN,Financials,3.2
118632,WIPRO,IT,2.9
119092,RELIANCE,Energy,8.0
119092,HDFC BANK,Financials,7.3
119092,TCS,IT,6.7
119092,INFOSYS,IT,5.6
119092,ICICI BANK,Financials,5.3
119092,ITC,FMCG,4.7
119092,L&T,Industrials,4.3
119092,HUL,FMCG,4.0
119092,SBIN,Financials,3.6
119092,BHARTI AIRTEL,Telecom,3.3
120841,RELIANCE,Energy,7.9
120841,HDFC BANK,Financials,6.8
120841,TCS,IT,6.4
120841,INFOSYS,IT,5.7
120841,ICICI BANK,Financials,5.1
120841,ITC,FMCG,4.4
120841,L&T,Industrials,4.0
120841,HUL,FMCG,3.8
120841,SBIN,Financials,3.4
120841,AXIS BANK,Financials,3.0
